season,competition_scope,player_name,nationality,position,squad,age,born,appearances,starts,minutes,nineties,goals,assists,penalty_goals,penalty_attempts,own_goals,yellow_cards,red_cards,xg,npxg,xag,progressive_carries,progressive_passes,progressive_receives,shots,shots_on_target,passes_completed,passes_attempted,pass_accuracy,key_passes,crosses,tackles,tackles_won,interceptions,clearances,errors,touches,touches_att_pen,dribbles_attempted,dribbles_completed,carries,passes_into_final_third,carries_into_final_third,shot_creating_actions,goal_creating_actions,recoveries,fouls_committed,fouls_drawn,aerial_duels_won,aerial_duels_lost,clean_sheets,goals_conceded,saves,penalties_saved,source_dataset
2024-25,serie_a_league,Fabio Miretti,it ITA,"MF,FW",Genoa,20.0,2003.0,25,22,1677,18.6,3,3,0,0,0.0,2,0,3.1,3.1,2.0,33.0,54.0,100.0,24.0,6.0,422.0,567.0,74.4,22.0,61.0,28.0,15.0,7.0,13.0,2.0,847.0,56.0,73.0,25.0,461.0,24.0,22.0,53.0,6.0,85.0,23.0,4.0,11.0,23.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Henrikh Mkhitaryan,am ARM,MF,Inter,35.0,1989.0,31,29,2328,25.9,1,4,0,0,0.0,4,0,1.5,1.5,2.7,72.0,199.0,93.0,23.0,2.0,1326.0,1518.0,87.4,29.0,22.0,43.0,24.0,16.0,41.0,0.0,1747.0,44.0,26.0,7.0,1036.0,156.0,56.0,101.0,12.0,131.0,33.0,1.0,23.0,13.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Rui Modesto,ao ANG,"DF,MF",Udinese,24.0,1999.0,20,4,608,6.8,0,1,0,0,0.0,1,0,0.5,0.5,0.8,16.0,22.0,43.0,3.0,2.0,231.0,310.0,74.5,14.0,26.0,16.0,12.0,8.0,13.0,0.0,388.0,14.0,8.0,3.0,166.0,15.0,6.0,23.0,2.0,26.0,10.0,0.0,10.0,14.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Lorenzo Montipò,it ITA,GK,Hellas Verona,28.0,1996.0,36,36,3240,36.0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,520.0,1068.0,48.7,0.0,0.0,1.0,0.0,0.0,24.0,4.0,1170.0,0.0,0.0,0.0,508.0,37.0,0.0,5.0,0.0,28.0,0.0,0.0,7.0,1.0,8.0,64.0,97.0,1.0,Football Players Stats 2024-2025
2024-25,serie_a_league,Álvaro Morata,es ESP,"FW,MF",Milan,31.0,1992.0,16,13,1099,12.2,5,0,0,0,0.0,5,0,3.9,3.9,0.8,18.0,26.0,63.0,27.0,10.0,202.0,268.0,75.4,7.0,13.0,16.0,10.0,5.0,5.0,0.0,383.0,61.0,17.0,6.0,215.0,15.0,13.0,21.0,3.0,31.0,25.0,2.0,14.0,20.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Alberto Moreno,es ESP,DF,Como,32.0,1992.0,24,21,1727,19.2,0,0,0,0,0.0,4,0,0.4,0.4,1.2,23.0,81.0,58.0,14.0,6.0,893.0,1082.0,82.5,19.0,49.0,25.0,11.0,14.0,40.0,2.0,1224.0,17.0,7.0,3.0,722.0,63.0,30.0,36.0,2.0,74.0,17.0,0.0,11.0,20.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Matias Moreno,ar ARG,DF,Fiorentina,20.0,2003.0,4,2,144,1.6,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,58.0,71.0,81.7,1.0,2.0,8.0,8.0,1.0,9.0,0.0,98.0,1.0,3.0,3.0,55.0,5.0,0.0,3.0,0.0,5.0,4.0,0.0,3.0,4.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Tete Morente,es ESP,"FW,MF",Lecce,27.0,1996.0,31,23,2021,22.5,3,2,0,0,0.0,5,0,2.9,2.9,1.6,48.0,102.0,144.0,41.0,13.0,545.0,729.0,74.8,25.0,56.0,27.0,17.0,14.0,31.0,1.0,983.0,40.0,55.0,30.0,560.0,54.0,43.0,61.0,4.0,104.0,26.0,2.0,37.0,23.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Nikola Moro,hr CRO,MF,Bologna,26.0,1998.0,22,15,1208,13.4,0,2,0,0,0.0,1,0,0.5,0.5,0.8,17.0,93.0,21.0,14.0,2.0,646.0,805.0,80.2,20.0,33.0,35.0,27.0,13.0,18.0,0.0,923.0,3.0,12.0,7.0,486.0,98.0,11.0,48.0,6.0,73.0,22.0,0.0,17.0,16.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Daniel Mosquera,co COL,FW,Hellas Verona,24.0,1999.0,35,12,1375,15.3,5,1,0,0,0.0,4,0,6.6,6.6,1.3,17.0,25.0,83.0,57.0,15.0,230.0,335.0,68.7,12.0,2.0,11.0,8.0,2.0,10.0,0.0,509.0,74.0,25.0,16.0,250.0,21.0,15.0,43.0,3.0,54.0,44.0,1.0,79.0,89.0,,,,,Football Players Stats 2024-2025
